Mount,Panel,Top/Shape,Material,Type,Size,Handing,Finish Texture,Panel Style,Hinge Finish,Casing Finish,Casing Profile,,Stock Item Number,Lowes Stock Item Number,New Number
Pre-hung,Panel,Round Top,Molded,2,28,RH,SM,PFJ,NCSGNK,,,,5675139,5731065,
Pre-hung,Panel,Round Top,Molded,2,28,LH,SM,PFJ,NCSGNK,,,,5675143,5731091,
Pre-hung,Panel,Round Top,Molded,2,30,RH,SM,PFJ,NCSGNK,,,,5675140,5731110,
Pre-hung,Panel,Round Top,Molded,2,30,LH,SM,PFJ,NCSGNK,,,,5675146,5731071,
Pre-hung,Panel,Round Top,Molded,2,32,RH,SM,PFJ,NCSGNK,,,,5675141,5731090,
Pre-hung,Panel,Round Top,Molded,2,32,LH,SM,PFJ,NCSGNK,,,,5675145,5731076,
Pre-hung,Panel,Round Top,Molded,2,36,RH,SM,PFJ,NCSGNK,,,,5675148,5731067,
Pre-hung,Panel,Round Top,Molded,2,36,LH,SM,PFJ,NCSGNK,,,,5675147,5731115,
Pre-hung,Panel,Round Top,Molded,2,356,RH,SM,,,,,,5690032,5731118,
Pre-hung,Panel,Round Top,Molded,2,356,LH,SM,,,,,,5690033,5731334,
Pre-hung,Panel,Round Top,Molded,2,356,RH,SM,,,,,,5690035,5731104,
Pre-hung,Panel,Round Top,Molded,2,356,LH,SM,,,,,,5690037,5731074,
Pre-hung,Panel,Round Top,Molded,2,356,RH,SM,,,,,,5690038,5731108,
Pre-hung,Panel,Round Top,Molded,2,356,LH,SM,,,,,,5690036,5731078,
Pre-hung,Panel,Round Top,Molded,2,356,RH,SM,,,,,,5690039,5731070,
Pre-hung,Panel,Round Top,Molded,2,356,LH,SM,,,,,,5690041,5731112,
Pre-hung,Panel,Round Top,Molded,2,356,RH,SM,,,,,,5690042,5731102,
Pre-hung,Panel,Round Top,Molded,2,356,LH,SM,,,,,,5690040,5731075,
Pre-hung,Panel,Round Top Plank,Molded,2,24,RH,,PLNK,CSNGNK,,,,5675124,1101737,6035807
Pre-hung,Panel,Round Top Plank,Molded,2,24,LH,,PLNK,CSNGNK,,,,5675127,1101738,6035809
Pre-hung,Panel,Round Top Plank,Molded,2,28,RH,,PLNK,CSNGNK,,,,5675131,1101767,6035811
Pre-hung,Panel,Round Top Plank,Molded,2,28,LH,,PLNK,CSNGNK,,,,5675130,1101768,6035813
Pre-hung,Panel,Round Top Plank,Molded,2,30,RH,,PLNK,CSNGNK,,,,5675134,1101769,6035815
Pre-hung,Panel,Round Top Plank,Molded,2,30,LH,,PLNK,CSNGNK,,,,5675135,1101770,6035817
Pre-hung,Panel,Round Top Plank,Molded,2,32,RH,,PLNK,CSNGNK,,,,5675136,1101771,6035819
Pre-hung,Panel,Round Top Plank,Molded,2,32,LH,,PLNK,CSNGNK,,,,5675132,1101772,6035821
Pre-hung,Panel,Round Top Plank,Molded,2,36,RH,,PLNK,CSNGNK,,,,5675129,1101773,6035823
Pre-hung,Panel,Round Top Plank,Molded,2,36,LH,,PLNK,CSNGNK,,,,5675137,1101774,
Pre-hung,Panel,Round Top Plank,Molded,2,356,RH,PLK,PFJ/NK,,,,,244850,1101799,6035825
Pre-hung,Panel,Round Top Plank,Molded,2,356,LH,PLK,PFJ/NK,,,,,244852,1101800,
Pre-hung,Panel,Round Top Plank,Molded,2,356,RH,PLK,PFJ/NK,,,,,244854,1101801,6035827
Pre-hung,Panel,Round Top Plank,Molded,2,356,LH,PLK,PFJ/NK,,,,,244856,1101802,6035830
Pre-hung,Panel,Round Top Plank,Molded,2,356,RH,PLK,PFJ/NK,,,,,244857,1101803,
Pre-hung,Panel,Round Top Plank,Molded,2,356,LH,PLK,PFJ/NK,,,,,244858,1101804,
Pre-hung,Panel,Round Top Plank,Molded,2,356,RH,PLK,PFJ/NK,,,,,244859,1101805,6035833
Pre-hung,Panel,Round Top Plank,Molded,2,356,LH,PLK,PFJ/NK,,,,,244860,1101806,6035835
Pre-hung,Panel,Round Top Plank,Molded,2,356,RH,PLK,PFJ/NK,,,,,244861,1101807,6035837
Pre-hung,Panel,Round Top Plank,Molded,2,356,LH,PLK,PFJ/NK,,,,,244862,1101808,
Pre-hung,Panel,Square,Molded,2 Flat,24,RH,SM,NK,PFJ,,,,794053,1101819,
