Mount,Panel,Top/Shape,Material,Type,Size,Handing,Finish Texture,Panel Style,Hinge Finish,Casing Finish,Casing Profile,,Stock Item Number,Lowes Stock Item Number,New Number
Pre-hung,Panel,,Molded,6 Solid Core,36,LH,TX,FLTNK,,,,,5675189,1101937,
Pre-hung,Panel,,Molded,6 Solid Core,356,RH,,PFJ,NK,,,,5509432,1168799,
Pre-hung,Panel,,Molded,6 Solid Core,356,LH,,PFJ,NK,,,,5509431,1168798,
Pre-hung,Panel,,Molded,6 Solid Core,356,RH,,PFJ,NK,,,,5509427,1169256,
Pre-hung,Panel,,Molded,6 Solid Core,356,LH,,PFJ,NK,,,,5509439,1169254,
Pre-hung,Panel,,Molded,6 Solid Core,356,RH,,PFJ,NK,,,,5509450,1169245,
Pre-hung,Panel,,Molded,6 Solid Core,356,LH,,PFJ,NK,,,,5509422,1169236,
Pre-hung,Panel,,Molded,6 Solid Core,356,RH,,PFJ,NK,,,,5509429,1170064,
Pre-hung,Panel,,Molded,6 Solid Core,356,LH,,PFJ,NK,,,,5509451,1170130,
Pre-hung,Panel,,Molded,6 Solid Core,356,RH,,PFJ,NK,,,,5509455,1169233,
Pre-hung,Panel,,Molded,6 Solid Core,356,LH,,PFJ,NK,,,,5509457,1169235,
Pre-hung,Panel,,Molded,6 Solid Core,366,RH,TX,PFJ,NK,,,,5208958, 1169410,
Pre-hung,Panel,,Molded,6 Solid Core,366,LH,TX,PFJ,NK,,,,5208959, 1168801,
Pre-hung,Panel,,Molded,6 Solid Core,366,RH,TX,PFJ,NK,,,,5208960,1169261,
Pre-hung,Panel,,Molded,6 Solid Core,366,LH,TX,PFJ,NK,,,,5208961,1169406,
Pre-hung,Panel,,Molded,6 Solid Core,366,RH,TX,PFJ,NK,,,,5208962,1169269,
Pre-hung,Panel,,Molded,6 Solid Core,366,LH,TX,PFJ,NK,,,,,,
Pre-hung,Panel,,Molded,6 Solid Core,366,LH,TX,PFJ,NK,,,,5208963,1169249,
Pre-hung,Panel,,Molded,6 Solid Core,366,RH,TX,PFJ,NK,,,,5208964,1170116,
Pre-hung,Panel,,Molded,6 Solid Core,366,LH,TX,PFJ,NK,,,,5208965,1170134,
Pre-hung,Panel,,Molded,6 Solid Core,366,RH,TX,PFJ,NK,,,,5208966,1168734,
Pre-hung,Panel,,Molded,6 Solid Core,366,LH,TX,PFJ,NK,,,,5208967,1169252,
Pre-hung,Panel,,Molded,6 Solid Core,376,RH,,PFJ,NK,,,,5509444,1170137,
Pre-hung,Panel,,Molded,6 Solid Core,376,LH,,PFJ,NK,,,,5509458,1169231,
Pre-hung,Panel,,Molded,6 Solid Core,376,RH,,PFJ,NK,,,,5509438,1169257,
Pre-hung,Panel,,Molded,6 Solid Core,376,LH,,PFJ,NK,,,,5509463,1168769,
Pre-hung,Panel,,Molded,6 Solid Core,376,RH,,PFJ,NK,,,,5509433,1170133,
Pre-hung,Panel,,Molded,6 Solid Core,376,LH,,PFJ,NK,,,,5509434,1169260,
Pre-hung,Panel,,Molded,6 Solid Core,376,RH,,PFJ,NK,,,,5509472,1170067,
Pre-hung,Panel,,Molded,6 Solid Core,376,LH,,PFJ,NK,,,,5509447,1168774,
Pre-hung,Panel,,Molded,6 Solid Core,376,RH,,PFJ,NK,,,,5509461,1170135,
Pre-hung,Panel,,Molded,6 Solid Core,376,LH,,PFJ,NK,,,,5509442,1170136,
Pre-hung,Panel,,Pine,6,24,RH,,NK,,,,,5675192,1101693,6035791
Pre-hung,Panel,,Pine,6,24,LH,,NK,,,,,5675195,1101694,6035793
Pre-hung,Panel,,Pine,6,28,RH,,NK,,,,,5675198,1101695,6035795
Pre-hung,Panel,,Pine,6,28,LH,,NK,,,,,5675201,1101696,6035797
Pre-hung,Panel,,Pine,6,30,RH,,NK,,,,,5675205,1101697,
Pre-hung,Panel,,Pine,6,30,LH,,NK,,,,,5675199,1101698,
Pre-hung,Panel,,Pine,6,32,RH,,NK,,,,,5675204,1101699,6035799
Pre-hung,Panel,,Pine,6,32,LH,,NK,,,,,5675203,1101700,6035801
Pre-hung,Panel,,Pine,6,36,RH,,NK,,,,,5675202,1101701,6035803
Pre-hung,Panel,,Pine,6,36,LH,,NK,,,,,5675200,1101702,
Pre-hung,,,Hardboard,Primed,,RH,,NK,,,,,5062643,1102058,
Pre-hung,,,Hardboard,Primed,,LH,,NK,,,,,5062644,1102059,
Pre-hung,,,Hardboard,Primed,,RH,,NK,,,,,5062645,1102060,6036029
Pre-hung,,,Hardboard,Primed,,LH,,NK,,,,,5062646,1102061,6036031
Pre-hung,,,Hardboard,Primed,,RH,,NK,,,,,5062647,1102062,6036033
Pre-hung,,,Hardboard,Primed,,LH,,NK,,,,,5062648,1102063,6036035
Pre-hung,,,Hardboard,Primed,,RH,,NK,,,,,5062649,1102064,6036037
Pre-hung,,,Hardboard,Primed,,LH,,NK,,,,,5062650,1102065,6036039
Pre-hung,,,Hardboard,Primed,,RH,,NK,,,,,5062651,1102066,6036041
Pre-hung,,,Hardboard,Primed,,LH,,NK,,,,,5062652,1102067,
Pre-hung,,,Hardboard,Primed,356,RH,,NK,,,,,5062623,1102048,6036009
Pre-hung,,,Hardboard,Primed,356,LH,,NK,,,,,5062624,1102049,6036011
Pre-hung,,,Hardboard,Primed,356,RH,,NK,,,,,5062625,1102050,6036013
Pre-hung,,,Hardboard,Primed,356,LH,,NK,,,,,5062626,1102051,6036015
Pre-hung,,,Hardboard,Primed,356,RH,,NK,,,,,5062627,1102052,6036017
Pre-hung,,,Hardboard,Primed,356,LH,,NK,,,,,5062628,1102053,6036019
Pre-hung,,,Hardboard,Primed,356,RH,,NK,,,,,5062629,1102054,6036021
Pre-hung,,,Hardboard,Primed,356,LH,,NK,,,,,5062630,1102055,6036023
Pre-hung,,,Hardboard,Primed,356,RH,,NK,,,,,5062631,1102056,6036025
Pre-hung,,,Hardboard,Primed,356,LH,,NK,,,,,5062632,1102057,6036027
Pre-hung,,,Hardboard,Primed,366,RH,,NK,,,,,5062603,1102028,
Pre-hung,,,Hardboard,Primed,366,LH,,NK,,,,,5062604,1102029,6035993
Pre-hung,,,Hardboard,Primed,366,RH,,NK,,,,,5062605,1102030,6035995
Pre-hung,,,Hardboard,Primed,366,LH,,NK,,,,,5062606,1102031,6035997
Pre-hung,,,Hardboard,Primed,366,RH,,NK,,,,,5062607,1102032,
Pre-hung,,,Hardboard,Primed,366,LH,,NK,,,,,5062608,1102033,6035999
Pre-hung,,,Hardboard,Primed,366,RH,,NK,,,,,5062609,1102034,6036001
Pre-hung,,,Hardboard,Primed,366,LH,,NK,,,,,5062610,1102035,6036003
Pre-hung,,,Hardboard,Primed,366,RH,,NK,,,,,5062611,1102036,6036005
Pre-hung,,,Hardboard,Primed,366,LH,,NK,,,,,5062612,1102037,6036007
Pre-hung,,,Hardboard,Primed,376,RH,,NK,,,,,5062613,1169402,
Pre-hung,,,Hardboard,Primed,376,LH,,NK,,,,,5062614, 1168779,
Pre-hung,,,Hardboard,Primed,376,RH,,NK,,,,,5062615, 1168792,
Pre-hung,,,Hardboard,Primed,376,LH,,NK,,,,,5062616,1168735,
Pre-hung,,,Hardboard,Primed,376,RH,,NK,,,,,5062617,1170112,
Pre-hung,,,Hardboard,Primed,376,LH,,NK,,,,,5062618,1170147,
Pre-hung,,,Hardboard,Primed,376,RH,,NK,,,,,5062619,1169240,
Pre-hung,,,Hardboard,Primed,376,LH,,NK,,,,,5062620,1169258,
Pre-hung,,,Hardboard,Primed,376,RH,,NK,,,,,5062621, 1168736,
Pre-hung,,,Hardboard,Primed,376,LH,,NK,,,,,5062622,1170114,
