Program,Material,Core_Type,Style,Finish_Texture,Glass_Info,Configuration,Size_Width_in,Size_Height_in,Handing,Jamb_Type,Jamb_Casing,Hinge_Finish,Special_Features,Bore_Status,Original_Description,Current_Stock_Item_Number,Lowe's_Pro_Stock_Item_Number
Exterior Pro Program,Steel,Solid Core,Flush,Smooth,Full Lite Miniblind,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 FULL LITE MINIBLIND LH DB",5517551,5740243
Exterior Pro Program,Steel,Solid Core,Flush,Smooth,Full Lite Miniblind,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 FULL LITE MINIBLIND RH DB",5517547,5740244
Exterior Pro Program,Steel,Solid Core,2 Panel,Smooth,Half Lite Miniblind,Single Prehung,32,80,Left-Hand,Double Bore,,,,Bored,"32 HALF LITE MBLND 2PNL LH DB",5517534,5740245
Exterior Pro Program,Steel,Solid Core,2 Panel,Smooth,Half Lite Miniblind,Single Prehung,32,80,Right-Hand,Double Bore,,,,Bored,"32 HALF LITE MBLND 2PNL RH DB",5517556,5740293
Exterior Pro Program,Steel,Solid Core,2 Panel,Smooth,Half Lite Miniblind,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 HALF LITE MBLND 2PNL LH DB",5517548,5740276
Exterior Pro Program,Steel,Solid Core,2 Panel,Smooth,Half Lite Miniblind,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 HALF LITE MBLND 2PNL RH DB",5517549,5740291
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,32,74,Left-Hand,Double Bore,,,Mobile Home,Bored,"32X74 6-PANEL MBL DB LH",52417,5740226
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,32,74,Right-Hand,Double Bore,,,Mobile Home,Bored,"32X74 6-PANEL MBL DB RH",52401,5740239
Exterior Pro Program,Steel,Solid Core,Flush,Smooth,9-Lite,Single Prehung,32,74,Left-Hand,Double Bore,,,Mobile Home,Bored,"32X74 9-LITE MBL DB LH",505376,5740235
Exterior Pro Program,Steel,Solid Core,Flush,Smooth,9-Lite,Single Prehung,32,74,Right-Hand,Double Bore,,,Mobile Home,Bored,"32X74 9-LITE MBL DB RH",505375,5740264
Exterior Pro Program,Steel,Solid Core,Utility Flush,Smooth,,Single Prehung,32,80,Left-Hand,Single Bore,,,No Brickmould,Bored,"32 UTILITY FLUSH LH SB NBM",5517519,5740271
Exterior Pro Program,Steel,Solid Core,Utility Flush,Smooth,,Single Prehung,32,80,Right-Hand,Single Bore,,,No Brickmould,Bored,"32 UTILITY FLUSH RH SB NBM",5517524,5740227
Exterior Pro Program,Steel,Solid Core,Utility Flush,Smooth,,Single Prehung,36,80,Left-Hand,Single Bore,,,No Brickmould,Bored,"36 UTILITY FLUSH LH SB NBM",5517521,5740262
Exterior Pro Program,Steel,Solid Core,Utility Flush,Smooth,,Single Prehung,36,80,Right-Hand,Single Bore,,,No Brickmould,Bored,"36 UTILITY FLUSH RH SB NBM",5517537,5740249
Exterior Pro Program,Steel,Solid Core,Decorative,Morel,Decorative Birchfield Patina,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 BIRCHFIELD MRLT PATINA LH DB",5517520,5740278
Exterior Pro Program,Steel,Solid Core,Decorative,Morel,Decorative Birchfield Patina,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 BIRCHFIELD MRLT PATINA RH DB",5517523,5740236
Exterior Pro Program,Steel,Solid Core,Craftsman,Manchester,Decorative Craftsman Patina,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 MANCH CRFTSMN PATINA LH DB",5517518,5740263
Exterior Pro Program,Steel,Solid Core,Craftsman,Manchester,Decorative Craftsman Patina,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 MANCH CRFTSMN PATINA RH DB",5517515,5740282
Exterior Pro Program,Steel,Solid Core,Decorative,Smooth,Decorative Camelia 3/4 Oval Patina,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 CAMELIA 3/4 OVAL PATINA LH DB",5517525,5740252
Exterior Pro Program,Steel,Solid Core,Decorative,Smooth,Decorative Camelia 3/4 Oval Patina,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 CAMELIA 3/4 OVAL PATINA RH DB",5517514,5740230
Exterior Pro Program,Steel,Solid Core,2 Panel,Smooth,,Single Prehung,32,80,Left-Hand,Double Bore,,,,Bored,"32 2-PANEL DB LH",5517511,5740274
Exterior Pro Program,Steel,Solid Core,2 Panel,Smooth,,Single Prehung,32,80,Right-Hand,Double Bore,,,,Bored,"32 2-PANEL DB RH",5517513,5740229
Exterior Pro Program,Steel,Solid Core,2 Panel,Smooth,,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 2-PANEL DB LH",5517517,5740254
Exterior Pro Program,Steel,Solid Core,2 Panel,Smooth,,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 2-PANEL DB RH",5517516,5740234
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Slab,32,80,,Double Bore,,,,Bored,"32 6-PANEL SLAB DB",5517560,6542022
