Program,Material,Core_Type,Style,Finish_Texture,Glass_Info,Configuration,Size_Width_in,Size_Height_in,Handing,Jamb_Type,Jamb_Casing,Hinge_Finish,Special_Features,Bore_Status,Original_Description,Current_Stock_Item_Number,Lowe's_Pro_Stock_Item_Number
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,30,80,Right-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 30 1P MLD HC RH PFJ NCSG BL",5509476,1170120
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,32,80,Left-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 32 1P MLD HC LH PFJ NCSG BL",5509352,1169263
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,32,80,Right-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 32 1P MLD HC RH PFJ NCSG BL",5509466,1169508
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,36,80,Left-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 36 1P MLD HC LH PFJ NCSG BL",5509468,1168730
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,36,80,Right-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 36 1P MLD HC RH PFJ NCSG BL",5509459,1168776
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,24,80,Left-Hand,Split Jamb,Colonial,Black,,Bored,"PROW 24 1P MLD HC LH PFJ 453 BL",5509452,1169264
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,24,80,Right-Hand,Split Jamb,Colonial,Black,,Bored,"PROW 24 1P MLD HC RH PFJ 453 BL",5509471,1168794
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,28,80,Left-Hand,Split Jamb,Colonial,Black,,Bored,"PROW 28 1P MLD HC LH PFJ 453 BL",5509436,1168802
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,28,80,Right-Hand,Split Jamb,Colonial,Black,,Bored,"PROW 28 1P MLD HC RH PFJ 453 BL",5509440,1169253
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,30,80,Left-Hand,Split Jamb,Colonial,Black,,Bored,"PROW 30 1P MLD HC LH PFJ 453 BL",5509437,1170139
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,30,80,Right-Hand,Split Jamb,Colonial,Black,,Bored,"PROW 30 1P MLD HC RH PFJ 453 BL",5509470,1168771
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,32,80,Left-Hand,Split Jamb,Colonial,Black,,Bored,"PROW 32 1P MLD HC LH PFJ 453 BL",5509467,1168724
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,32,80,Right-Hand,Split Jamb,Colonial,Black,,Bored,"PROW 32 1P MLD HC RH PFJ 453 BL",5509462,1168773
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,36,80,Left-Hand,Split Jamb,Colonial,Black,,Bored,"PROW 36 1P MLD HC LH PFJ 453 BL",5509454,1168775
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,36,80,Right-Hand,Split Jamb,Colonial,Black,,Bored,"PROW 36 1P MLD HC RH PFJ 453 BL",5509445,1170140
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Bi-hinge,48,80,,Flat Jamb,No Casing,Black,Ball Catches,,"48 PRO 1P MLD-F HC PFJ BC BL NCSG",,5738377
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Bi-hinge,60,80,,Flat Jamb,No Casing,Black,Ball Catches,,"60 PRO IP MLD-FHC PFJ BC BL NCSG",,5738376
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Bi-hinge,72,80,,Flat Jamb,No Casing,Black,Ball Catches,,"72 PRO 1P MLD-FHC PFJ BC BL NCSG",,5738373
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Bi-hinge,48,80,,Split Jamb,Colonial,Black,Ball Catches,,"48 PRO 1P MLD-F HC PFJ BC BL 453",,5738378
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Bi-hinge,60,80,,Split Jamb,Colonial,Black,Ball Catches,,"60 PRO 1P MLD-F HC PFJ BC BL 453",,5738375
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Bi-hinge,72,80,,Split Jamb,Colonial,Black,Ball Catches,,"72 PRO 1P MLD-F HC PFJ BC BL 453",,5738374
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Slab,24,80,,,,,,No,"PROW 24 1P WSR No BORE SLAB",5510789,1168796
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Slab,28,80,,,,,,No,"PROW 28 1P WSR NO BORE SLAB",5510791,1168805
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Slab,30,80,,,,,,No,"PROW 30 1P WSR No BORE SLAB",5510790,1169268
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Slab,32,80,,,,,,No,"PROW 32 1P WSR NO BORE SLAB",5510793,1168727
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Slab,36,80,,,,,,No,"PROW 36 1P WSR No BORE SLAB",5510792,1170065
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Single Prehung,24,80,Left-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 24 1P WSR LH PFJ NCSG BL",5509475,1170118
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Single Prehung,24,80,Right-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 24 1P WSR RH PFJ NCSG BL",5509453,1168800
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Single Prehung,28,80,Left-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 28 1P WSR LH PFJ NCSG BL",5509465,1169246
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Single Prehung,28,80,Right-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 28 1P WSR RH PFJ NCSG BL",5509469,1168728
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Single Prehung,30,80,Left-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 30 1P WSR LH PFJ NCSG BL",5509443,1170145
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Single Prehung,30,80,Right-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 30 1P WSR RH PFJ NCSG BL",5509354,1168772
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Single Prehung,32,80,Left-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 32 1P WSR LH PFJ NCSG BL",5509464,1169272
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Single Prehung,32,80,Right-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 32 1P WSR RH PFJ NCSG BL",5509460,1169271
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Single Prehung,36,80,Left-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 36 1P WSR LH PFJ NCSG BL",5509456,1170148
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Wood Stile and Rail,,Single Prehung,36,80,Right-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 36 1P WSR RH PFJ NCSG BL",5509449,1170146
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Flat,,Bi-hinge,48,80,,Flat Jamb,No Casing,Black,Ball Catches,,"48 PRO 1P WSR-F PFJ BC BL NCSG",,5738327
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Flat,,Bi-hinge,60,80,,Flat Jamb,No Casing,Black,Ball Catches,,"60 PRO 1P WSR-F PFJ BC BL NCSG",,5738326
Interior Pro Express,Wood,Solid Core,1 Panel Shaker,Flat,,Bi-hinge,72,80,,Flat Jamb,No Casing,Black,Ball Catches,,"72 PRO 1P WSR-F PFJ BC BL NCSG",,5738325
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Slab,24,80,,,,,,No,"24 PRO 2P RD TOP SM HC 1-3/8",5675142,5731082
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Slab,28,80,,,,,,No,"28 PRO 2P RD TOP SM HC 1-3/8",5675144,5731072
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Slab,30,80,,,,,,No,"30 PRO 2P RD TOP SM HC 1-3/8",5731064,5675152
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Slab,32,80,,,,,,No,"32 PRO 2P RD TOP SM HC 1-3/8",5731114,5675151
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Slab,36,80,,,,,,No,"36 PRO 2P RD TOP SM HC 1-3/8",5675154,5731066
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-fold,24,80,,,,,,2 Door,,"24 PRO 2P RD TOP SM HC BF 2DR",5675149,5731088
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-fold,30,80,,,,,,2 Door,,"30 PRO 2P RD TOP SM HC BF 2DR",5675155,5731087
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-fold,36,80,,,,,,2 Door,,"36 PRO 2P RD TOP SM HC BF 2DR",5675150,5731079
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,24,80,Right-Hand,Flat Jamb,No Casing,Nickel,,Bored,"24 PRO 2PNL RDTP SM RH PFJ NCSGNK",5675133,5731073
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,24,80,Left-Hand,Flat Jamb,No Casing,Nickel,,Bored,"24 PRO 2PNL RDTP SM LH PFJ NCSGNK",5675138,5731068
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,28,80,Right-Hand,Flat Jamb,No Casing,Nickel,,Bored,"28 PRO 2PNL RDTP SM RH PFJ NCSGNK",5675139,5731065
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,28,80,Left-Hand,Flat Jamb,No Casing,Nickel,,Bored,"28 PRO 2PNL RDTP SM LH PFJ NCSGNK",5675143,5731091
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,30,80,Right-Hand,Flat Jamb,No Casing,Nickel,,Bored,"30 PRO 2PNL RDTP SM RH PFJ NCSGNK",5675140,5731110
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,30,80,Left-Hand,Flat Jamb,No Casing,Nickel,,Bored,"30 PRO 2PNL RDTP SM LH PFJ NCSGNK",5675146,5731071
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,32,80,Right-Hand,Flat Jamb,No Casing,Nickel,,Bored,"32 PRO 2PNL RDTP SM RH PFJ NCSGNK",5675141,5731090
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,32,80,Left-Hand,Flat Jamb,No Casing,Nickel,,Bored,"32 PRO 2PNL RDTP SM LH PFJ NCSGNK",5675145,5731076
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,36,80,Right-Hand,Flat Jamb,No Casing,Nickel,,Bored,"36 PRO 2PNL RDTP SM RH PFJ NCSGNK",5675148,5731067
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,36,80,Left-Hand,Flat Jamb,No Casing,Nickel,,Bored,"36 PRO 2PNL RDTP SM LH PFJ NCSGNK",5675147,5731115
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,48,80,,Flat Jamb,No Casing,Nickel,Ball Catches,,"48 PRO 2PRT MLD HC PFJ BC NK NCSG",,5738361
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,60,80,,Flat Jamb,No Casing,Nickel,Ball Catches,,"60 PRO 2PRT MLD HC PFJ BC NK NCSG",,5738358
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,72,80,,Flat Jamb,No Casing,Nickel,Ball Catches,,"72 PRO 2PRT MLD HC PFJ BC NK NCSG",,5738359
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,24,80,Right-Hand,Split Jamb,356,Nickel,,Bored,"24 PRO 2P RD TOP SM HC RH 356 NIK",5690032,5731118
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,24,80,Left-Hand,Split Jamb,356,Nickel,,Bored,"24 PRO 2P RD TOP SM HC LH 356 NIK",5690033,5731334
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,28,80,Right-Hand,Split Jamb,356,Nickel,,Bored,"28 PRO 2P RD TOP SM HC RH 356 NIK",5690035,5731104
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,28,80,Left-Hand,Split Jamb,356,Nickel,,Bored,"28 PRO 2P RD TOP SM HC LH 356 NIK",5690037,5731074
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,30,80,Right-Hand,Split Jamb,356,Nickel,,Bored,"30 PRO 2P RD TOP SM HC RH 356 NIK",5690038,5731108
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,30,80,Left-Hand,Split Jamb,356,Nickel,,Bored,"30 PRO 2P RD TOP SM HC LH 356 NIK",5690036,5731078
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,32,80,Right-Hand,Split Jamb,356,Nickel,,Bored,"32 PRO 2P RD TOP SM RH HC 356 NIK",5690039,5731070
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,32,80,Left-Hand,Split Jamb,356,Nickel,,Bored,"32 PRO 2P RD TOP SM LH HC 356 NIK",5690041,5731112
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,36,80,Right-Hand,Split Jamb,356,Nickel,,Bored,"36 PRO 2P RD TOP SM RH HC 356 NIK",5690042,5731102
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,36,80,Left-Hand,Split Jamb,356,Nickel,,Bored,"36 PRO 2P RD TOP SM LH HC 356 NIK",5690040,5731075
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,48,80,,Split Jamb,356,Nickel,Ball Catches,,"48 PRO 2PRT MLD HC PFJ BC NK 356",,5738365
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,60,80,,Split Jamb,356,Nickel,Ball Catches,,"60 PRO 2PRT MLD HC PFJ BC NK 356",,5738362
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,72,80,,Split Jamb,356,Nickel,Ball Catches,,"72 PRO 2PRT MLD HC PFJ BC NK 356",,5738360
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,24,80,Right-Hand,Split Jamb,366,Nickel,,Bored,"24 PRO 2P RND TOP SM HC RH 366NK",5690021,5731095
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,24,80,Left-Hand,Split Jamb,366,Nickel,,Bored,"24 PRO 2P RND TOP SM HC LH 366NK",5690019,5731069
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,28,80,Right-Hand,Split Jamb,366,Nickel,,Bored,"28 PRO 2P RND TOP SM HC RH 366NK",5690027,5731083
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,28,80,Left-Hand,Split Jamb,366,Nickel,,Bored,"28 PRO 2P RND TOP SM HC LH 366NK",5690026,5731086
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,30,80,Right-Hand,Split Jamb,366,Nickel,,Bored,"30 PRO 2P RND TOP SM HC RH 366NK",5690031,5731117
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,30,80,Left-Hand,Split Jamb,366,Nickel,,Bored,"30 PRO 2P RND TOP SM HC LH 366NK",5690024,5731119
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,32,80,Right-Hand,Split Jamb,366,Nickel,,Bored,"32 PRO 2P RND TOP SM HC RH 366NK",5690029,5731105
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,32,80,Left-Hand,Split Jamb,366,Nickel,,Bored,"32 PRO 2P RND TOP SM HC LH 366NK",5690030,5731099
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,36,80,Right-Hand,Split Jamb,366,Nickel,,Bored,"36 PRO 2P RND TOP SM HC RH 366NK",5690028,5731080
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,36,80,Left-Hand,Split Jamb,366,Nickel,,Bored,"36 PRO 2P RND TOP SM HC LH 366NK",5690034,5731113
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,48,80,,Split Jamb,366,Nickel,Ball Catches,,"48 PRO 2PRT MLD HC PFJ BC NK 366",,5738366
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,60,80,,Split Jamb,366,Nickel,Ball Catches,,"60 PRO 2PRT MLD HC PFJ BC NK 366",,5738364
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,72,80,,Split Jamb,366,Nickel,Ball Catches,,"72 PRO 2PRT MLD HC PFJ BC NK 366",,5738363
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,24,80,Right-Hand,Split Jamb,376,Nickel,,Bored,"24 PRO 2P RND TOP SM HC RH 376NK",5690010,5731101
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,24,80,Left-Hand,Split Jamb,376,Nickel,,Bored,"24 PRO 2P RND TOP SM HC LH 376NK",5690017,5731120
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,28,80,Right-Hand,Split Jamb,376,Nickel,,Bored,"28 PRO 2P RND TOP SM HC RH 376NK",5690022,5731100
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,28,80,Left-Hand,Split Jamb,376,Nickel,,Bored,"28 PRO 2P RND TOP SM HC LH 376NK",5690018,5731107
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,30,80,Right-Hand,Split Jamb,376,Nickel,,Bored,"30 PRO 2P RND TOP SM HC RH 376NK",5690008,5731116
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,30,80,Left-Hand,Split Jamb,376,Nickel,,Bored,"30 PRO 2P RND TOP SM HC LH 376NK",5690015,5731093
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,32,80,Right-Hand,Split Jamb,376,Nickel,,Bored,"32 PRO 2P RND TOP SM HC RH 376NK",5690016,5731103
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,32,80,Left-Hand,Split Jamb,376,Nickel,,Bored,"32 PRO 2P RND TOP SM HC LH 376NK",5690023,5731109
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,36,80,Right-Hand,Split Jamb,376,Nickel,,Bored,"36 PRO 2P RND TOP SM HC RH 376NK",5690020,5731097
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,36,80,Left-Hand,Split Jamb,376,Nickel,,Bored,"36 PRO 2P RND TOP SM HC LH 376NK",5690025,5731098
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,48,80,,Split Jamb,376,Nickel,Ball Catches,,"48 PRO 2PRT MLD HC PFJ BC NK 376",,5738368
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,60,80,,Split Jamb,376,Nickel,Ball Catches,,"60 PRO 2PRT MLD HC PFJ BC NK 376",,5738370
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,72,80,,Split Jamb,376,Nickel,Ball Catches,,"72 PRO 2PRT MLD HC PFJ BC NK 376",,5738367
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,24,80,Right-Hand,Split Jamb,Craftsman,Nickel,,Bored,"24 PRO 2P RND TOP SM HC RH 445NK",5690011,5731092
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,24,80,Left-Hand,Split Jamb,Craftsman,Nickel,,Bored,"24 PRO 2P RND TOP SM HC LH 445NK",5690009,5731084
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,28,80,Right-Hand,Split Jamb,Craftsman,Nickel,,Bored,"28 PRO 2P RND TOP SM HC RH 445NK",5690006,5731106
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,28,80,Left-Hand,Split Jamb,Craftsman,Nickel,,Bored,"28 PRO 2P RND TOP SM HC LH 445NK",5690003,5731096
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,30,80,Right-Hand,Split Jamb,Craftsman,Nickel,,Bored,"30 PRO 2P RND TOP SM HC RH 445NK",5690005,5731089
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,30,80,Left-Hand,Split Jamb,Craftsman,Nickel,,Bored,"30 PRO 2P RND TOP SM HC LH 445NK",5690004,5731111
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,32,80,Right-Hand,Split Jamb,Craftsman,Nickel,,Bored,"32 PRO 2P RND TOP SM HC RH 445NK",5690007,5731077
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,32,80,Left-Hand,Split Jamb,Craftsman,Nickel,,Bored,"32 PRO 2P RND TOP SM HC LH 445NK",5690013,5731094
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,36,80,Right-Hand,Split Jamb,Craftsman,Nickel,,Bored,"36 PRO 2P RND TOP SM HC RH 445NK",5690012,5731085
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Single Prehung,36,80,Left-Hand,Split Jamb,Craftsman,Nickel,,Bored,"36 PRO 2P RND TOP SM HC LH 445NK",5690014,5731081
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,48,80,,Split Jamb,Craftsman,Nickel,Ball Catches,,"48 PRO 2PRT MLD HC PFJ BC NK 445",,5738372
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,60,80,,Split Jamb,Craftsman,Nickel,Ball Catches,,"60 PRO 2PRT MLD HC PFJ BC NK 445",,5738371
Interior Pro Express,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,72,80,,Split Jamb,Craftsman,Nickel,Ball Catches,,"72 PRO 2PRT MLD HC PFJ BC NK 445",,5738369
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Slab,24,80,,,,,,No,"24 PRO 2PSQ RB MLD-F SM HC SLAB",794063,1101955
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Slab,28,80,,,,,,No,"28 PRO 2PSQ RB MLD-F SM HC SLAB",794064,1101956
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Slab,30,80,,,,,,No,"30 PRO 2PSQ RB MLD-F SM HC SLAB",794065,1101957
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Slab,32,80,,,,,,No,"32 PRO 2PSQ RB MLD-F SM HC SLAB",794066,1101958
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Slab,36,80,,,,,,No,"36 PRO 2PSQ RB MLD-F SM HC SLAB",794067,1101959
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Bi-fold,24,80,,,,,,2 Door,,"24 PRO 2PSQ RB MLD-F SM HC 2DR BF",794068,1101679
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Bi-fold,30,80,,,,,,2 Door,,"30 PRO 2PSQ RB MLD-F SM HC 2DR BF",794069,1101680
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Bi-fold,36,80,,,,,,2 Door,,"36 PRO 2PSQ RB MLD-F SM HC 2DR BF",794070,1101681
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Single Prehung,24,80,Right-Hand,Flat Jamb,No Casing,Nickel,,Bored,"24 PRO 2PSQ RB MLD-F SM RH NK PFJ",794053,1101819
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Single Prehung,24,80,Left-Hand,Flat Jamb,No Casing,Nickel,,Bored,"24 PRO 2PSQ RB MLD-F SM LH NK PFJ",794054,1101820
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Single Prehung,28,80,Right-Hand,Flat Jamb,No Casing,Nickel,,Bored,"28 PRO 2PSQ RB MLD-F SM RH NK PFJ",794055,1101821
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Single Prehung,28,80,Left-Hand,Flat Jamb,No Casing,Nickel,,Bored,"28 PRO 2PSQ RB MLD-F SM LH NK PFJ",794056,1101822
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Single Prehung,30,80,Right-Hand,Flat Jamb,No Casing,Nickel,,Bored,"30 PRO 2PSQ RB MLD-F SM RH NK PFJ",794057,1101823
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Single Prehung,30,80,Left-Hand,Flat Jamb,No Casing,Nickel,,Bored,"30 PRO 2PSQ RB MLD-FSM LH NK PFJ",794058,1101824
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Single Prehung,32,80,Right-Hand,Flat Jamb,No Casing,Nickel,,Bored,"32 PRO 2PSQ RB MLD-F SM RH NK PFJ",794059,1101825
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Single Prehung,32,80,Left-Hand,Flat Jamb,No Casing,Nickel,,Bored,"32 PRO 2PSQ RB MLD-F SM LH NK PFJ",794060,1101826
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Single Prehung,36,80,Right-Hand,Flat Jamb,No Casing,Nickel,,Bored,"36 PRO 2PSQ RB MLD-F SM RH NK PFJ",794061,1101827
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Single Prehung,36,80,Left-Hand,Flat Jamb,No Casing,Nickel,,Bored,"36 PRO 2PSQ RB MLD-F SM LH NK PFJ",794062,1101828
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Bi-hinge,48,80,,Flat Jamb,No Casing,Nickel,Ball Catches,,"48 PRO 2P MLD-F PFJ BC NK NCSG",,5738339
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Bi-hinge,60,80,,Flat Jamb,No Casing,Nickel,Ball Catches,,"60 PRO 2P MLD-F PFJ BC NK NCSG",,5738338
Interior Pro Express,Molded,Hollow Core,2 Panel Square,Flat,,Bi-hinge,72,80,,Flat Jamb,No Casing,Nickel,Ball Catches,,"72 PRO 2P MLD-F PFJ BC NK NCSG",,5738336
